cumulative,just auto_increment,"auto_increment, key","auto_increment, unique key","w/o auto-increment, key","w/o auto-increment, unique key","w/o auto-increment, primary key"
230000,14.6959350109,17.0329630375,28.9617009163,18.6666650772,36.6219291687,38.2438189983
240000,14.6517169476,18.5550169945,33.131248951,18.1211130619,39.9463911057,41.9549880028
250000,14.6628627777,17.730825901,30.3847970963,18.8439099789,40.8020279408,40.3473949432
260000,14.3178761005,19.7782170773,35.4662020206,18.3546869755,44.3152618408,39.8244540691
270000,14.3288240433,17.8320798874,27.9391829967,19.810915947,47.9498651028,44.5726640224
280000,14.2960948944,18.5328469276,28.9715189934,20.9785358906,48.3630340099,44.827685833
290000,14.6398789883,19.3555099964,29.9846658707,20.1120891571,49.2085340023,50.1537587643
300000,14.495388031,19.3322079182,35.5094740391,22.1908240318,54.1636190414,49.6404750347
310000,14.3069601059,20.2457141876,36.7778120041,20.5892970562,50.1196951866,47.8183898926
320000,14.5735828876,20.1336328983,37.411634922,23.2363328934,50.9760529995,51.5663151741
330000,14.040252924,20.6236510277,41.2025799751,22.3887851238,51.2642598152,51.4427790642
340000,14.3502910137,22.1213469505,45.7726728916,21.4451980591,51.726402998,54.6790518761
350000,13.8509230614,22.0123970509,47.6180181503,23.3468978405,52.4113790989,52.1987249851
360000,14.5384569168,22.7134838104,48.1633861065,23.057420969,53.8442828655,54.5453169346
370000,14.4326329231,21.9903578758,49.8087007999,23.1136200428,53.8340239525,53.186868906
380000,14.4075779915,22.3908019066,50.9758019447,24.5027391911,54.5125620365,56.14407897
390000,14.2741351128,21.6011579037,50.9642789364,23.5143649578,53.6674461365,59.3928470612
400000,14.6520271301,23.033520937,51.5436241627,23.7232241631,54.54555583,59.5584421158
410000,14.2069540024,22.780372858,50.6754348278,23.0130369663,55.0237631798,63.6832060814
420000,15.9525401592,23.8355538845,50.8528900146,25.3254570961,58.303563118,62.3698270321
430000,14.3069088459,22.9796700478,52.6556959152,24.113920927,57.7579159737,68.6434829235
