cumulative,just auto_increment,"auto_increment, key","auto_increment, unique key","w/o auto-increment, key","w/o auto-increment, unique key","w/o auto-increment, primary key"
230000,22.6133191586,43.0042998791,47.4496529102,32.1283609867,491.008123875,492.385764122
240000,21.7127561569,39.9356839657,48.9748020172,32.9405770302,469.082211971,488.740959883
250000,22.190705061,36.2214422226,53.8785629272,33.5446910858,475.639419794,496.483469963
260000,21.701335907,43.1605238914,47.5739099979,34.4191329479,491.097380161,495.573044062
270000,20.4562041759,40.1910879612,54.2335259914,37.4902849197,496.85789299,511.110818863
280000,22.1793470383,45.1165699959,52.466365099,40.5580539703,501.959376097,519.381936073
290000,21.0901658535,44.0458228588,57.5355830193,42.0125031471,500.293403864,515.791007042
300000,21.1900920868,41.4556930065,62.1942958832,40.9698250294,499.981427193,525.974878073
310000,21.1342861652,48.4631330967,64.1850030422,41.4369339943,528.265637159,525.087037086
320000,21.8895900249,42.0482649803,69.7738649845,40.747177124,515.532974005,527.298475027
330000,21.5358300209,48.9745678902,68.3874740601,41.8484261036,515.302767992,524.420085907
340000,21.3896999359,45.379981041,79.5729138851,41.0250349045,520.28035593,519.549004078
350000,22.4799671173,48.218487978,79.3177421093,38.5119991302,524.430200815,543.897985935
360000,22.2905220985,40.2807848454,85.0172030926,41.1135821342,534.825643063,531.968800068
370000,21.6684558392,46.5177180767,89.7464199066,42.2378890514,545.709739923,546.043858051
380000,20.5117309093,44.0033109188,86.3656158447,40.7032270432,539.02710104,537.315928936
390000,22.3345980644,46.6600081921,91.0772778988,38.6233100891,553.169184923,535.50455904
400000,22.2799019814,42.60277915,88.3012840748,44.127805233,548.20981288,561.574003935
410000,22.9465000629,48.8301479816,93.8374888897,40.4357521534,546.544732094,584.998443127
420000,20.1213941574,44.1902139187,90.6694161892,43.6269888878,558.797200203,561.673313856
430000,23.1139829159,49.3192090988,93.1256160736,40.5888011456,555.794599056,546.088423967
440000,21.1426751614,43.527618885,91.2697570324,41.8684768677,543.309501886,577.083248138
450000,21.0231461525,47.6850619316,92.6253509521,42.5473499298,532.912900925,567.756582975
460000,23.2696239948,42.8713760376,90.3138070107,44.482858181,547.752362013,572.761101007
470000,21.7015450001,47.1968297958,94.9271080494,41.7616589069,543.486504078,597.011386871
480000,23.135696888,45.0151069164,89.523526907,46.6375470161,549.802431107,562.932868958
490000,22.3571429253,48.7982461452,90.6575667858,41.636703968,580.277666092,586.148526907
500000,22.969162941,45.8823339939,91.9584929943,47.7849531174,575.664023161,584.846956015
